t,r,r_dot,r_dot_dot,psi,psi_dot
1.60200001000117916994E+02,9.61428751915113473468E+00,-2.93465634528760312074E-01,-9.69321891109022654559E-03,3.45811255877243966216E+00,1.08184685905990271686E-02
1.60215001000117931995E+02,9.60547918580185841348E+00,-2.93756682217751772509E-01,-9.70997088504610019013E-03,3.45843741039079136568E+00,1.08383190047352970275E-02
1.60230001000117946997E+02,9.59666211347479041968E+00,-2.94048233364908952235E-01,-9.72678284185401829491E-03,3.45876285863743476961E+00,1.08582438788291025596E-02
1.60245001000117961998E+02,9.58783628703914830166E+00,-2.94340289774321985615E-01,-9.74365508883804067710E-03,3.45908890575214946535E+00,1.08782436120832694529E-02
1.60260001000117976999E+02,9.57900169130988824936E+00,-2.94632853259331622855E-01,-9.76058793538479934500E-03,3.45941555398673309210E+00,1.08983186064999249956E-02
1.60275001000117992001E+02,9.57015831104742689325E+00,-2.94925925642591361703E-01,-9.77758169296058348383E-03,3.45974280560508558953E+00,1.09184692669047120145E-02
1.60290001000118007002E+02,9.56130613095736083679E+00,-2.95219508756130103681E-01,-9.79463667512859354646E-03,3.46007066288329435868E+00,1.09386960009712528285E-02
1.60305001000118022003E+02,9.55244513569018419488E+00,-2.95513604441415310160E-01,-9.81175319756636583585E-03,3.46039912810972001230E+00,1.09589992192458655821E-02
1.60320001000118037005E+02,9.54357530984100480356E+00,-2.95808214549416709026E-01,-9.82893157808336820848E-03,3.46072820358508298228E+00,1.09793793351725343649E-02
1.60335001000118052006E+02,9.53469663794925825859E+00,-2.96103340940670505362E-01,-9.84617213663877046469E-03,3.46105789162255079354E+00,1.09998367651181380958E-02
1.60350001000118067007E+02,9.52580910449841922541E+00,-2.96398985485344151707E-01,-9.86347519535939249070E-03,3.46138819454782612232E+00,1.10203719283979424931E-02
1.60365001000118082009E+02,9.51691269391571258683E+00,-2.96695150063301643352E-01,-9.88084107855782712561E-03,3.46171911469923566842E+00,1.10409852473013523412E-02
1.60380001000118097010E+02,9.50800739057182082038E+00,-2.96991836564169370472E-01,-9.89827011275074684315E-03,3.46205065442781972050E+00,1.10616771471179354812E-02
1.60395001000118112011E+02,9.49909317878059043447E+00,-2.97289046887402507542E-01,-9.91576262667739073529E-03,3.46238281609742261304E+00,1.10824480561637152218E-02
1.60410001000118127013E+02,9.49017004279873600467E+00,-2.97586782942351983118E-01,-9.93331895131823673948E-03,3.46271560208478385154E+00,1.11032984058077377335E-02
1.60425001000118142014E+02,9.48123796682554229563E+00,-2.97885046648331992027E-01,-9.95093941991386027581E-03,3.46304901477963020338E+00,1.11242286304989166030E-02
1.60440001000118157015E+02,9.47229693500256428405E+00,-2.98183839934688084292E-01,-9.96862436798398174198E-03,3.46338305658476838583E+00,1.11452391677931582791E-02
